state,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Coahuila,Colima,Distrito Federal,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Mexico,Michoacan,Morelos,Nayarit,Nuevo Leon,Oaxaca,Puebla,Queretaro,San Luis Potosi,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatan,Zacatecas,Quintana Roo,Sinaloa
Puebla,0.8939209894508858,0.22108985757591854,0.2410397586021418,0.5342451612870588,0.8427013368886072,0.5996612109967423,0.5757140248388002,0.785582007129933,0.8424837403752632,0.8408984069294909,0.9300393681719855,0.88201135108432,0.9915737793358298,0.9320321701676524,0.9357879422897403,0.9281993118042158,0.9197133259158995,0.8327011104659645,0.6490177537026808,0.9205364636926567,1.0000000000000002,0.9735527386574215,0.8816162349797769,0.4376481262391745,0.4907553539199553,0.5898759614795598,0.9045587894095185,0.6564372707157281,0.4345240126609854,0.8573625487227226,0.36957385646590396,0.6836921779143623
Queretaro,0.9261917481279511,0.23844658860380755,0.24215735342528763,0.47508861196397667,0.7574369246168173,0.655718493454911,0.6314666632258994,0.7610877903602535,0.8348021670009546,0.9029374104431274,0.9582935983140699,0.8574015778540417,0.9805667829604301,0.9436376591115005,0.9341838154004305,0.9250228873768611,0.9237869576976334,0.832980219084764,0.6810282176263512,0.8532129370091323,0.9735527386574215,0.9999999999999997,0.9074744727961372,0.473690017745099,0.39008795788033546,0.5942700557573183,0.8938725234086191,0.5668309967111882,0.3905844782600412,0.9047875631060508,0.30984045451651904,0.6931401321205515
San Luis Potosi,0.870508150646053,0.3789407940314075,0.37417920018427114,0.48414891755646255,0.6897040468251161,0.7570508365595573,0.8357963459322681,0.6326598803546518,0.6580866427366786,0.8504781520661135,0.8828604606388496,0.6911513108901766,0.8865039999741022,0.8059062491640151,0.7768605989835521,0.7656895023261755,0.7515551661553123,0.6891058649844737,0.8606807270488114,0.7534252011187829,0.8816162349797769,0.9074744727961372,1.0000000000000007,0.5922202895424108,0.4249625387977327,0.7408402678322533,0.7735041274990311,0.6060854648082623,0.41968652113833793,0.9202374289559659,0.33140163777669857,0.6233457025722626
Sonora,0.4232761246909605,0.8638615848252886,0.7258098570402053,0.34538589882134885,0.3494801231543331,0.8366610273624111,0.8016660060649033,0.44614326334776505,0.21469022283556044,0.6344564858788705,0.42455943710982014,0.40241182320986857,0.4357467734722604,0.4519052788364183,0.3356895750980346,0.4214589618641492,0.3934848427808954,0.500355607804564,0.713597827331719,0.4010487396228811,0.4376481262391745,0.473690017745099,0.5922202895424108,1.0,0.31540377118356366,0.5890789527877603,0.2975080275647178,0.37046573485547796,0.30714591233756877,0.5408722870960153,0.29416275811079096,0.6301158193891653
Tabasco,0.2573082058142844,0.19167509131855628,0.31418958510352973,0.8156818007018785,0.7647783178941062,0.20234725916406715,0.2551471951500468,0.652347917854599,0.2585438229273217,0.26513624276648684,0.32449427648259355,0.545449858537778,0.473464942935789,0.438495517481882,0.3416772200736167,0.4819958869616471,0.42615381291375115,0.5518231049966043,0.41148733149622163,0.6433791931544363,0.4907553539199553,0.39008795788033546,0.4249625387977327,0.31540377118356366,1.0,0.6089697860800345,0.27232642507500454,0.933942714341849,0.7343709375143058,0.2668251068492141,0.7149427394055148,0.5778964287432738
Tamaulipas,0.4563263108638923,0.3896023546864239,0.46861292504050484,0.6146131649408388,0.60238020583655,0.49967071192976664,0.6883881910277247,0.5761732619093958,0.29498356991257585,0.5348706977400495,0.5160395341378847,0.5382122051404201,0.6071675901954926,0.5248655692503831,0.4248714383377125,0.5252018411655169,0.486187003345525,0.5870422718396254,0.8867929708167491,0.6037819861577607,0.5898759614795598,0.5942700557573183,0.7408402678322533,0.5890789527877603,0.6089697860800345,1.0,0.37540953231807694,0.7328650850097895,0.5826466507236491,0.5301450618099608,0.5046898441069607,0.6962496651493765
Tlaxcala,0.9266990420046862,0.08779123212613145,0.07071089524256473,0.3085229307320536,0.6226918589993083,0.5783489957493888,0.43859683504797153,0.6179898877647343,0.9118817532966371,0.8311564112408014,0.9324549097484717,0.7286562203985288,0.8963481594218264,0.8690973290002477,0.9590469285865018,0.8339702292131863,0.8705491405576151,0.7034451571940027,0.4665867641712946,0.7278303574004693,0.9045587894095185,0.8938725234086191,0.7735041274990311,0.2975080275647178,0.27232642507500454,0.37540953231807694,0.9999999999999998,0.40641795470767167,0.2245282250029879,0.8736001518116908,0.16897067114430459,0.5263103874809477
Veracruz,0.4080724845046027,0.22145837988424047,0.3205966747227564,0.7973493364731884,0.8800451696569148,0.3179888952579398,0.39689098549807245,0.7359273574662356,0.373757152283332,0.417630078417617,0.476118843817035,0.6748146310200891,0.6556883023800127,0.5747502213010894,0.4851537156738831,0.6143210874630273,0.5510419961622112,0.6590577937629476,0.5603063039527711,0.7886157335057854,0.6564372707157281,0.5668309967111882,0.6060854648082623,0.37046573485547796,0.933942714341849,0.7328650850097895,0.40641795470767167,1.0,0.7070069156826025,0.41792030588965634,0.6644901089643199,0.6433895197895156
Yucatan,0.24615307997438937,0.16737682771368437,0.3943206302735412,0.9602004679881022,0.6475610361973723,0.13480131820564425,0.24856916546089594,0.6731984617834864,0.23614058303154475,0.256304832206864,0.31845225653694137,0.5476169166745694,0.42065520736475964,0.46567603694649395,0.3244608589854918,0.4899087428633251,0.4031746313735336,0.592107733867483,0.4095534337220411,0.5864204265823119,0.4345240126609854,0.3905844782600412,0.41968652113833793,0.30714591233756877,0.7343709375143058,0.5826466507236491,0.2245282250029879,0.7070069156826025,0.9999999999999997,0.2656648073290983,0.9390541910345219,0.6539257002745339
Zacatecas,0.964948444830521,0.3074242682749259,0.25255261721759936,0.3285483818152954,0.580143955257224,0.8005078251838816,0.7322998063233321,0.6018086980194126,0.7363713185374926,0.9290025375172623,0.9474413779151047,0.688062331143772,0.8587205113638217,0.8603715797745275,0.8541126539462487,0.7938025148092642,0.8085211584066251,0.692170981829154,0.6886260201029888,0.6711902407694303,0.8573625487227226,0.9047875631060508,0.9202374289559659,0.5408722870960153,0.2668251068492141,0.5301450618099608,0.8736001518116908,0.41792030588965634,0.2656648073290983,0.9999999999999999,0.17478925968466014,0.577176940439352
Quintana Roo,0.1577012075952412,0.16243086284871674,0.3662593789912265,0.9464285758228538,0.6009721265255764,0.10960392823981398,0.18468072889847723,0.6247075889910408,0.1812207563514847,0.1994495245790832,0.23174046905401072,0.4834574786624496,0.3499817549970858,0.3857795166990104,0.2601293979748397,0.4215097068753101,0.33709023435336644,0.5385410805779041,0.3423614603572792,0.5334184876184249,0.36957385646590396,0.30984045451651904,0.33140163777669857,0.29416275811079096,0.7149427394055148,0.5046898441069607,0.16897067114430459,0.6644901089643199,0.9390541910345219,0.17478925968466014,1.0000000000000002,0.6104294321985249
Sinaloa,0.5670793875290843,0.39033709714400106,0.46468352808440416,0.695849064357459,0.6965552118561896,0.48551717244868553,0.4705352216367496,0.9122405708528135,0.48861434544303933,0.6853120721935504,0.6440541412523435,0.8350873123364709,0.6864458877804661,0.797942930729857,0.6465852053231423,0.8113110942512606,0.7533948703892899,0.9252556415692255,0.5910967596996572,0.7337741326261347,0.6836921779143623,0.6931401321205515,0.6233457025722626,0.6301158193891653,0.5778964287432738,0.6962496651493765,0.5263103874809477,0.6433895197895156,0.6539257002745339,0.577176940439352,0.6104294321985249,0.9999999999999998
